2025-10-30 01:04:49,965 [INFO] extractor.entities: Progress: 22900/28353 files processed, 5565526 entities extracted
2025-10-30 01:04:54,060 [INFO] extractor.entities: Progress: 23000/28353 files processed, 5589244 entities extracted
2025-10-30 01:04:57,807 [INFO] extractor.entities: Progress: 23100/28353 files processed, 5611085 entities extracted
2025-10-30 01:05:01,814 [INFO] extractor.entities: Progress: 23200/28353 files processed, 5634343 entities extracted
2025-10-30 01:05:05,973 [INFO] extractor.entities: Progress: 23300/28353 files processed, 5660293 entities extracted
2025-10-30 01:05:10,192 [INFO] extractor.entities: Progress: 23400/28353 files processed, 5686829 entities extracted
2025-10-30 01:05:14,235 [INFO] extractor.entities: Progress: 23500/28353 files processed, 5710790 entities extracted
2025-10-30 01:05:18,238 [INFO] extractor.entities: Progress: 23600/28353 files processed, 5734322 entities extracted
2025-10-30 01:05:22,326 [INFO] extractor.entities: Progress: 23700/28353 files processed, 5757660 entities extracted
2025-10-30 01:05:26,304 [INFO] extractor.entities: Progress: 23800/28353 files processed, 5781521 entities extracted
2025-10-30 01:05:29,864 [INFO] extractor.entities: Progress: 23900/28353 files processed, 5803521 entities extracted
2025-10-30 01:05:34,349 [INFO] extractor.entities: Progress: 24000/28353 files processed, 5833475 entities extracted
2025-10-30 01:05:38,158 [INFO] extractor.entities: Progress: 24100/28353 files processed, 5855217 entities extracted
2025-10-30 01:05:42,095 [INFO] extractor.entities: Progress: 24200/28353 files processed, 5878218 entities extracted
2025-10-30 01:05:46,242 [INFO] extractor.entities: Progress: 24300/28353 files processed, 5902933 entities extracted
2025-10-30 01:05:50,356 [INFO] extractor.entities: Progress: 24400/28353 files processed, 5929685 entities extracted
2025-10-30 01:05:57,265 [INFO] extractor.entities: Progress: 24500/28353 files processed, 5957463 entities extracted
2025-10-30 01:06:01,143 [INFO] extractor.entities: Progress: 24600/28353 files processed, 5980261 entities extracted
2025-10-30 01:06:04,992 [INFO] extractor.entities: Progress: 24700/28353 files processed, 6002732 entities extracted
2025-10-30 01:06:09,054 [INFO] extractor.entities: Progress: 24800/28353 files processed, 6027751 entities extracted
2025-10-30 01:06:13,186 [INFO] extractor.entities: Progress: 24900/28353 files processed, 6050411 entities extracted
2025-10-30 01:06:17,126 [INFO] extractor.entities: Progress: 25000/28353 files processed, 6073162 entities extracted
2025-10-30 01:06:20,636 [INFO] extractor.entities: Progress: 25100/28353 files processed, 6095079 entities extracted
2025-10-30 01:06:24,470 [INFO] extractor.entities: Progress: 25200/28353 files processed, 6117614 entities extracted
2025-10-30 01:06:28,312 [INFO] extractor.entities: Progress: 25300/28353 files processed, 6140580 entities extracted
2025-10-30 01:06:32,389 [INFO] extractor.entities: Progress: 25400/28353 files processed, 6164280 entities extracted
2025-10-30 01:06:36,086 [INFO] extractor.entities: Progress: 25500/28353 files processed, 6186377 entities extracted
2025-10-30 01:06:40,412 [INFO] extractor.entities: Progress: 25600/28353 files processed, 6210712 entities extracted
2025-10-30 01:06:44,255 [INFO] extractor.entities: Progress: 25700/28353 files processed, 6232678 entities extracted
2025-10-30 01:06:48,219 [INFO] extractor.entities: Progress: 25800/28353 files processed, 6261419 entities extracted
2025-10-30 01:06:52,054 [INFO] extractor.entities: Progress: 25900/28353 files processed, 6284766 entities extracted
2025-10-30 01:06:56,408 [INFO] extractor.entities: Progress: 26000/28353 files processed, 6311102 entities extracted
2025-10-30 01:07:00,873 [INFO] extractor.entities: Progress: 26100/28353 files processed, 6337096 entities extracted
2025-10-30 01:07:04,947 [INFO] extractor.entities: Progress: 26200/28353 files processed, 6362590 entities extracted
2025-10-30 01:07:08,915 [INFO] extractor.entities: Progress: 26300/28353 files processed, 6383944 entities extracted
2025-10-30 01:07:12,762 [INFO] extractor.entities: Progress: 26400/28353 files processed, 6408656 entities extracted
